vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
VTS,2024-01-11 07:52:34,2024-02-06 10:23:11,1,18.95,1,Y,-74.004742,40.798458,-73.822226,40.719612,No Charge,283.34,2.79,0.07,26.24,20.78,499.78
VTS,2024-11-01 04:57:19,2024-06-16 19:52:48,1,4.47,6,Y,-73.884957,40.648816,-73.971154,40.693512,Unknown,218.04,7.4,3.85,22.4,27.32,440.91
VTS,2024-08-06 21:16:11,2024-07-06 06:28:15,3,7.77,3,Y,-74.038413,40.835271,-73.806813,40.716493,Cash,315.38,6.61,3.69,43.93,29.5,528.87
CMT,2024-07-01 04:22:14,2024-06-09 11:32:17,5,33.49,3,Y,-73.822601,40.720902,-73.998153,40.848225,Cash,17.37,1.14,2.06,30.49,27.08,352.72
CMT,2024-05-25 20:57:43,2024-03-04 05:52:00,1,24.26,4,N,-73.933276,40.674191,-73.925066,40.769332,Cash,95.13,0.22,4.79,88.65,8.86,429.89
VTS,2024-08-25 21:50:50,2024-02-02 08:02:21,4,16.89,5,N,-73.799498,40.798737,-73.807394,40.679603,No Charge,454.14,6.1,0.32,47.94,48.61,379.79
CMT,2024-07-09 09:18:06,2024-10-28 09:27:28,2,34.18,3,N,-73.999951,40.81224,-73.806478,40.76845,Credit Card,448.46,2.11,4.96,71.52,12.77,436.22
CMT,2024-02-20 02:09:11,2024-06-15 03:10:15,3,13.81,6,Y,-73.981078,40.732134,-73.974404,40.776376,Unknown,24.2,8.59,2.77,75.07,36.11,280.45
CMT,2024-10-18 01:50:51,2024-05-30 15:31:53,4,3.76,5,Y,-74.036599,40.717364,-73.786707,40.84262,Unknown,481.92,6.44,1.05,86.17,23.46,75.01
VTS,2024-06-15 07:12:48,2024-01-04 10:48:05,5,14.31,5,Y,-73.793224,40.847622,-74.03455,40.846373,Credit Card,497.72,3.57,1.93,31.17,17.08,551.44
VTS,2024-08-13 01:38:48,2024-06-21 19:18:47,5,44.07,3,N,-73.792657,40.727184,-74.007172,40.707826,Dispute,400.31,9.34,1.17,35.93,47.79,527.11
CMT,2024-03-08 00:17:06,2024-03-19 05:01:12,5,4.64,2,Y,-74.042738,40.754824,-73.937862,40.781505,Unknown,102.8,8.24,1.85,78.22,37.16,83.39
VTS,2024-01-29 08:03:04,2024-02-29 06:29:20,6,22.2,3,Y,-73.912637,40.733106,-74.018391,40.644516,Unknown,207.62,3.72,4.94,14.13,42.26,249.87
CMT,2024-10-17 10:24:44,2024-11-15 04:25:17,2,31.8,3,N,-73.778111,40.849131,-73.874826,40.721752,Cash,416.39,2.58,4.15,92.05,29.76,5.9
VTS,2024-11-09 16:18:55,2024-01-09 16:01:14,1,28.93,3,N,-73.795472,40.751237,-73.928205,40.726919,Dispute,170.82,2.81,1.29,45.39,26.89,450.11
CMT,2024-03-02 21:13:49,2024-05-14 01:37:55,4,34.46,5,Y,-74.044017,40.642821,-73.820016,40.642947,Cash,26.61,3.72,3.4,44.97,39.57,453.78
CMT,2024-07-06 07:07:09,2024-11-14 08:06:49,6,42.41,2,Y,-74.02153,40.739568,-73.929492,40.834962,Dispute,136.27,0.67,4.68,83.35,38.37,579.51
CMT,2024-09-15 03:07:23,2024-06-11 02:10:24,1,34.18,4,Y,-74.025298,40.650586,-74.015408,40.642262,Credit Card,390.75,1.76,0.01,77.22,38.86,11.29
CMT,2024-09-16 14:31:00,2024-04-05 01:44:41,5,42.46,4,N,-73.825331,40.830532,-73.971393,40.793712,Dispute,268.91,5.46,1.73,40.35,42.29,456.03
CMT,2024-10-15 13:43:16,2024-03-18 01:10:01,1,12.14,3,Y,-73.827507,40.661735,-73.880996,40.675909,Unknown,257.53,3.23,2.82,74.31,7.15,237.4
VTS,2024-06-30 21:47:22,2024-10-03 17:12:54,3,48.28,5,Y,-74.034573,40.646322,-73.918868,40.813497,Credit Card,454.45,2.65,2.72,68.24,19.93,387.59
VTS,2024-07-15 06:33:53,2024-05-23 02:38:18,5,42.1,5,Y,-73.898476,40.650138,-73.969694,40.657911,Cash,267.49,8.44,0.56,93.27,12.4,30.91
CMT,2024-10-11 18:02:52,2024-11-02 10:03:33,3,2.04,4,N,-73.765375,40.738884,-73.810245,40.779345,No Charge,168.01,4.54,0.53,27.55,28.85,216.4
VTS,2024-10-22 05:07:15,2024-04-20 19:05:28,4,48.83,5,N,-73.883843,40.634927,-73.762544,40.639483,Unknown,340.43,8.07,4.27,69.27,7.31,265.06
CMT,2024-07-03 07:22:50,2024-04-08 16:55:44,6,13.39,6,Y,-73.818796,40.640624,-74.047043,40.710892,Unknown,49.93,8.11,3.47,16.35,35.58,121.38
VTS,2024-09-03 02:20:46,2024-01-10 03:37:25,1,18.38,1,Y,-74.022653,40.68044,-73.919676,40.839674,Unknown,435.94,4.15,1.04,53.19,40.13,435.2
CMT,2024-04-26 20:11:50,2024-11-05 05:29:05,3,45.28,3,Y,-73.775176,40.740252,-74.039007,40.827651,Dispute,11.37,2.52,4.92,59.76,23.01,105.59
CMT,2024-10-14 15:25:35,2024-06-21 08:20:58,2,38.34,6,N,-74.002631,40.641902,-73.883324,40.818891,Dispute,51.23,0.9,4.43,74.72,0.11,321.97
VTS,2024-07-24 02:55:27,2024-03-26 08:10:58,1,45.21,5,Y,-73.767026,40.673099,-73.766069,40.762987,Credit Card,63.87,4.55,2.32,67.71,11.26,268.44
CMT,2024-01-21 11:23:53,2024-10-14 12:58:09,1,29.36,4,Y,-73.806451,40.804957,-73.839977,40.846986,Cash,200.57,1.07,1.86,39.99,3.38,46.34
CMT,2024-11-15 21:17:51,2024-01-27 18:36:24,5,10.2,1,Y,-73.753421,40.79476,-73.783617,40.814688,Unknown,459.05,3.96,1.98,94.83,38.83,89.8
CMT,2024-08-07 02:39:27,2024-07-11 03:44:01,1,38.04,5,Y,-74.008842,40.76611,-73.765107,40.671225,Unknown,254.45,4.09,4.04,63.47,4.9,366.77
CMT,2024-07-11 01:47:40,2024-03-01 12:48:03,5,8.93,4,Y,-73.999759,40.65396,-73.768396,40.790389,Credit Card,116.94,1.26,2.86,81.98,49.46,374.28
CMT,2024-02-06 21:14:42,2024-08-10 07:00:02,2,6.2,2,Y,-73.928995,40.816333,-73.759531,40.638135,Dispute,20.32,5.43,4.71,33.34,11.48,400.92
CMT,2024-06-14 19:07:47,2024-10-08 01:58:01,4,2.5,1,N,-73.864678,40.812797,-73.902449,40.784374,Dispute,51.4,3.46,0.09,9.31,19.59,20.56
CMT,2024-07-17 08:45:12,2024-08-02 04:38:03,6,9.27,1,Y,-73.833437,40.679992,-73.99683,40.658526,Cash,166.18,9.57,0.06,73.68,15.55,26.32
VTS,2024-08-15 10:30:44,2024-01-10 03:17:33,5,39.7,5,N,-73.767772,40.689114,-74.016481,40.788087,Dispute,46.16,9.82,1.06,31.38,25.02,437.12
VTS,2024-04-17 15:23:40,2024-07-03 13:35:11,2,49.34,1,N,-73.843827,40.796982,-73.89271,40.671804,Unknown,480.5,3.42,0.93,2.14,40.15,507.75
VTS,2024-09-17 22:37:29,2024-04-25 22:18:33,1,36.0,1,N,-74.029177,40.74484,-73.943856,40.802951,No Charge,404.75,5.46,2.37,36.61,12.76,395.8
CMT,2024-05-31 02:17:09,2024-01-04 10:53:16,3,4.73,1,N,-73.975731,40.71465,-73.984951,40.639457,Dispute,384.61,2.49,0.34,93.54,41.54,521.02
CMT,2024-07-23 02:03:13,2024-03-04 09:03:21,1,17.6,2,N,-73.858762,40.765694,-73.779321,40.636233,Cash,222.31,7.25,3.55,14.07,26.28,172.97
CMT,2024-08-22 12:36:46,2024-08-09 05:36:32,6,43.08,1,Y,-73.917582,40.674321,-73.753479,40.840523,Cash,362.7,1.62,0.16,11.62,44.68,350.09
VTS,2024-03-25 19:19:05,2024-10-16 20:11:10,4,1.72,6,N,-73.823771,40.84158,-73.986369,40.778826,Cash,55.1,3.6,3.91,65.37,40.07,374.09
CMT,2024-09-10 22:36:26,2024-01-20 09:04:51,5,48.73,2,Y,-73.807145,40.710925,-73.941289,40.700425,Dispute,61.29,2.67,1.29,72.84,19.47,44.43
CMT,2024-11-02 14:16:31,2024-06-03 00:40:54,1,9.76,4,Y,-73.776706,40.768714,-73.800997,40.746456,Unknown,272.03,7.72,4.75,73.06,49.14,160.85
VTS,2024-05-31 17:15:18,2024-05-07 13:04:43,1,48.5,4,N,-73.900995,40.841965,-73.982288,40.641548,No Charge,289.99,6.72,4.17,4.5,32.94,146.59
CMT,2024-01-30 20:27:46,2024-05-17 01:21:56,6,37.79,1,Y,-74.044153,40.828345,-73.846579,40.795049,Credit Card,126.22,8.4,3.91,62.13,22.43,349.5
VTS,2024-06-15 12:02:47,2024-07-03 01:01:14,6,33.04,5,Y,-73.889589,40.725014,-74.009279,40.725784,Credit Card,13.45,4.81,0.8,55.32,10.96,587.9
CMT,2024-08-03 21:18:08,2024-07-06 06:00:31,4,27.28,1,Y,-73.789774,40.686586,-73.814379,40.700541,Dispute,389.12,4.77,2.12,83.46,3.74,280.97
CMT,2024-03-17 23:12:14,2024-06-19 09:32:49,1,33.55,3,Y,-73.837545,40.847411,-73.990316,40.764405,No Charge,426.86,3.16,1.14,50.57,36.2,163.35
VTS,2024-10-13 01:03:12,2024-02-16 06:46:10,1,14.71,5,Y,-73.913329,40.669255,-73.86908,40.748859,Unknown,286.37,1.72,0.25,1.87,31.67,261.42
VTS,2024-02-02 03:07:08,2024-01-05 13:34:53,1,9.19,2,Y,-74.000197,40.828288,-73.825868,40.825608,Dispute,22.28,5.48,2.14,71.32,14.29,224.54
CMT,2024-02-28 22:10:50,2024-10-28 23:47:26,2,8.87,5,Y,-73.787197,40.789138,-73.947651,40.777232,Cash,271.49,9.39,4.68,0.83,16.74,227.75
VTS,2024-04-06 00:52:03,2024-01-04 17:20:22,5,26.19,2,N,-73.811422,40.685775,-73.783109,40.821014,Cash,423.71,7.87,1.25,43.46,18.07,490.52
CMT,2024-04-23 08:21:12,2024-09-05 15:22:42,3,33.72,2,N,-73.755621,40.759223,-74.030081,40.839575,Credit Card,61.26,5.44,1.15,18.97,28.65,94.44
VTS,2024-03-31 08:14:53,2024-07-24 12:37:11,1,35.59,3,Y,-73.881082,40.707452,-73.858294,40.700035,Cash,120.76,1.61,0.5,15.41,30.54,576.18
CMT,2024-04-10 05:24:24,2024-04-02 03:28:59,1,24.36,2,Y,-73.766849,40.650249,-73.793844,40.64998,No Charge,160.36,1.56,1.73,30.47,18.48,111.9
VTS,2024-08-08 14:58:07,2024-03-03 15:29:04,5,34.5,2,Y,-73.959854,40.792451,-73.856781,40.647342,Dispute,15.52,9.91,2.68,42.81,44.72,233.14
CMT,2024-02-16 02:08:29,2024-11-01 11:31:36,1,7.31,6,Y,-73.850392,40.83604,-73.931951,40.774263,Dispute,164.49,0.77,3.34,13.43,45.59,196.61
VTS,2024-09-28 08:20:00,2024-02-29 17:26:23,5,13.34,2,Y,-74.034064,40.671859,-73.850351,40.659217,No Charge,316.14,9.05,3.57,41.23,4.43,90.94
CMT,2024-01-14 14:55:05,2024-09-29 02:54:15,6,5.99,5,N,-74.031688,40.763716,-73.804856,40.806833,No Charge,386.74,6.12,0.84,34.66,26.2,583.64
VTS,2024-10-12 20:56:46,2024-01-31 19:35:49,4,4.68,3,Y,-73.912541,40.800649,-73.826796,40.692245,Dispute,103.38,8.63,2.93,16.89,49.47,503.2
CMT,2024-09-14 16:30:07,2024-08-22 16:01:12,5,40.86,5,Y,-73.851595,40.768538,-73.826658,40.754037,Unknown,408.96,0.92,4.27,62.1,6.2,60.88
VTS,2024-05-10 19:09:12,2024-03-17 15:11:45,6,47.45,4,Y,-73.862982,40.712752,-73.842802,40.82362,Cash,325.86,9.84,2.18,29.43,33.59,27.63
CMT,2024-02-13 22:29:55,2024-05-11 06:56:29,3,11.81,3,Y,-73.96979,40.848965,-74.027242,40.825191,Unknown,171.64,7.15,1.86,39.43,40.17,428.21
CMT,2024-02-21 23:48:18,2024-04-20 00:21:06,6,39.98,6,Y,-73.960409,40.669525,-74.027207,40.66913,No Charge,263.44,4.45,4.07,6.63,18.71,428.62
VTS,2024-01-24 09:11:16,2024-05-26 11:39:07,5,34.93,4,N,-73.783138,40.723924,-73.908811,40.82518,Cash,231.25,9.31,1.73,65.55,42.1,561.66
CMT,2024-08-27 02:16:25,2024-04-14 16:39:20,3,25.41,4,Y,-73.778887,40.746606,-74.011214,40.640799,Cash,48.41,1.03,1.65,40.25,12.45,177.79
CMT,2024-03-16 14:15:45,2024-06-10 22:56:38,4,26.87,3,N,-73.95403,40.78685,-73.893492,40.819053,Dispute,183.21,5.78,4.08,6.08,17.81,262.8
VTS,2024-05-27 04:34:07,2024-11-08 17:16:04,6,25.88,3,Y,-74.041749,40.717462,-73.961262,40.707772,Unknown,336.92,0.87,4.36,3.09,12.27,570.85
VTS,2024-02-18 04:13:50,2024-09-11 19:08:56,4,5.04,3,N,-74.027545,40.757575,-73.803079,40.754321,Credit Card,286.29,9.7,2.66,40.79,27.47,272.02
VTS,2024-09-17 18:18:25,2024-06-28 22:42:53,6,23.29,3,N,-74.017209,40.715568,-73.862611,40.729343,Unknown,270.31,1.68,0.59,39.36,4.86,140.26
CMT,2024-01-23 02:13:21,2024-06-14 02:21:18,6,5.03,3,N,-73.803124,40.686645,-73.991655,40.769652,Credit Card,182.28,1.81,0.66,58.33,12.99,451.88
CMT,2024-03-28 13:14:24,2024-07-10 16:38:40,6,7.06,5,Y,-73.87112,40.84139,-73.979254,40.64127,Unknown,99.08,8.7,4.7,97.6,3.85,580.64
VTS,2024-06-27 11:29:28,2024-04-13 21:05:55,5,8.79,4,Y,-73.91201,40.813995,-73.775757,40.795871,Unknown,390.59,5.89,2.6,80.17,6.36,166.99
CMT,2024-06-08 15:57:30,2024-05-30 21:37:12,3,10.64,1,Y,-73.899522,40.753122,-73.784242,40.818679,Cash,301.07,3.31,2.38,51.14,23.07,507.41
CMT,2024-05-10 05:51:40,2024-10-31 06:20:32,4,3.85,5,Y,-73.809555,40.749382,-73.78975,40.653074,Dispute,433.04,5.48,2.87,73.14,48.84,5.24
VTS,2024-10-12 13:01:09,2024-10-09 08:16:57,3,8.88,5,N,-73.797411,40.749199,-74.041435,40.832551,Credit Card,428.29,8.48,4.65,47.69,48.52,66.18
CMT,2024-06-29 03:53:18,2024-01-02 11:19:57,5,15.77,5,Y,-74.045966,40.737493,-73.857057,40.644259,Credit Card,254.08,4.55,1.77,73.94,41.29,215.75
VTS,2024-10-09 01:06:01,2024-04-08 05:00:09,3,20.09,4,Y,-73.841738,40.737321,-73.975179,40.691231,Cash,432.08,5.34,4.62,95.25,9.31,565.88
VTS,2024-07-08 02:35:41,2024-08-15 07:32:49,6,5.62,6,N,-73.914572,40.640324,-73.858573,40.825505,Cash,70.94,2.02,2.89,52.89,35.94,569.7
VTS,2024-09-18 22:02:28,2024-07-03 07:18:51,4,25.01,5,Y,-73.983097,40.83677,-73.881036,40.820017,Credit Card,379.6,8.57,3.82,27.94,43.22,405.18
VTS,2024-05-19 23:13:54,2024-09-28 10:43:32,3,23.83,5,Y,-73.776321,40.686275,-73.936512,40.810933,Unknown,419.4,8.51,3.75,18.22,30.93,598.99
VTS,2024-04-03 19:35:06,2024-08-14 21:28:08,1,10.11,1,N,-74.028274,40.633626,-74.048515,40.843447,Cash,279.7,2.08,4.2,22.21,20.67,452.25
CMT,2024-07-13 09:45:47,2024-01-24 11:27:24,1,46.92,5,N,-73.980069,40.781012,-73.881527,40.654222,Unknown,50.93,9.3,1.78,29.89,25.39,70.18
CMT,2024-08-22 06:42:50,2024-05-29 22:12:10,1,26.24,1,N,-73.907412,40.761128,-73.767823,40.654938,No Charge,456.76,4.64,0.02,9.14,40.09,164.55
CMT,2024-08-24 17:37:18,2024-02-07 16:11:28,2,24.46,5,Y,-73.813443,40.67692,-74.043309,40.640617,No Charge,473.74,6.01,3.08,98.91,41.53,243.84
VTS,2024-10-17 16:08:00,2024-10-04 01:07:29,6,13.27,1,N,-73.761238,40.793809,-73.941799,40.70096,Unknown,331.62,0.48,3.84,90.74,1.11,74.05
VTS,2024-08-21 16:18:59,2024-06-16 07:50:52,6,47.89,6,Y,-73.755601,40.742076,-73.880725,40.687802,Dispute,259.02,6.52,4.34,44.07,19.8,570.3
VTS,2024-08-15 00:30:18,2024-02-16 01:20:26,1,37.31,1,N,-73.97829,40.655961,-73.991903,40.728882,Cash,353.52,1.17,1.4,63.0,29.93,578.3
VTS,2024-10-20 19:35:37,2024-06-11 19:26:49,6,18.25,4,N,-73.752894,40.683396,-73.833299,40.741663,Dispute,300.23,0.26,4.13,88.75,19.83,532.87
VTS,2024-02-20 21:24:33,2024-09-18 10:20:45,6,19.04,3,N,-73.996771,40.79052,-73.861026,40.840098,No Charge,436.05,4.26,3.53,45.18,33.68,457.09
VTS,2024-08-06 22:20:12,2024-02-14 01:15:40,5,30.8,1,Y,-73.787951,40.753436,-73.7771,40.804377,Dispute,453.41,1.26,2.26,50.92,16.45,13.43
CMT,2024-06-18 23:14:49,2024-08-13 18:03:08,5,38.6,6,N,-73.755626,40.841939,-74.046488,40.633427,Unknown,444.2,1.14,0.34,57.95,22.68,124.49
VTS,2024-10-01 11:02:45,2024-10-20 00:47:41,5,13.47,5,N,-73.994674,40.734901,-73.823362,40.782559,Unknown,139.57,5.21,1.9,32.07,34.44,160.06
VTS,2024-01-04 23:02:08,2024-09-27 18:42:36,5,9.22,2,N,-73.902105,40.767857,-74.005062,40.719942,Unknown,371.36,1.84,2.84,54.47,46.42,483.64
CMT,2024-08-10 02:28:36,2024-09-09 16:30:14,6,12.11,3,N,-73.760383,40.813666,-73.801015,40.657743,Credit Card,245.51,7.09,4.64,59.54,16.31,224.19
VTS,2024-04-07 22:16:46,2024-03-30 21:32:58,6,49.35,5,Y,-73.859697,40.712371,-74.046553,40.770676,Dispute,146.32,4.43,2.14,19.21,32.0,110.41
VTS,2024-05-03 20:15:16,2024-03-12 15:31:10,3,8.77,4,N,-73.753558,40.712483,-74.009007,40.74859,Unknown,59.32,7.74,3.83,60.11,27.45,399.65
VTS,2024-11-16 20:50:46,2024-05-17 06:31:57,6,35.08,4,Y,-73.776687,40.841539,-73.770905,40.787692,Unknown,153.64,7.42,3.46,50.18,16.4,540.85
CMT,2024-01-16 11:27:11,2024-09-22 22:02:38,5,23.31,2,N,-73.857448,40.711071,-73.782224,40.716817,Dispute,367.83,9.56,4.64,51.38,45.5,387.29
VTS,2024-10-10 11:17:01,2024-02-16 07:39:23,6,3.38,3,Y,-73.798003,40.670684,-73.755471,40.711309,Credit Card,230.76,5.45,2.37,86.32,27.18,322.32
VTS,2024-03-25 22:16:33,2024-01-24 03:22:04,5,34.31,2,N,-73.982117,40.72455,-73.859721,40.811056,Dispute,377.35,7.93,3.31,50.39,3.87,305.1
CMT,2024-03-27 15:52:30,2024-11-12 17:27:52,6,6.99,4,N,-73.829103,40.733746,-73.786491,40.647821,Dispute,169.34,2.77,1.06,92.53,11.32,216.8
VTS,2024-05-17 09:50:23,2024-10-18 22:53:06,3,4.78,6,N,-73.973839,40.649913,-73.79535,40.654059,Dispute,489.57,8.61,0.37,31.13,30.41,332.74
VTS,2024-07-07 11:52:28,2024-01-08 07:40:06,5,15.06,1,Y,-73.807981,40.718306,-73.911068,40.779618,No Charge,134.53,1.19,3.88,80.58,38.44,196.45
VTS,2024-01-01 03:35:10,2024-10-22 21:31:56,5,9.31,6,Y,-73.975575,40.805115,-73.818026,40.709851,Dispute,132.78,5.13,3.86,88.79,2.39,52.41
CMT,2024-11-04 10:49:42,2024-08-16 06:47:22,2,5.11,1,Y,-73.942581,40.695202,-73.791731,40.801808,Dispute,434.25,0.68,4.93,89.42,30.42,210.49
VTS,2024-10-08 20:36:04,2024-09-02 22:39:03,4,20.75,6,N,-73.969782,40.65391,-74.00252,40.675337,No Charge,125.07,2.3,3.66,10.16,47.85,261.26
CMT,2024-09-20 05:00:51,2024-11-17 03:02:29,2,18.55,5,Y,-73.904819,40.801819,-73.821314,40.734114,No Charge,465.52,3.64,1.38,53.59,5.44,298.09
CMT,2024-09-01 08:04:37,2024-08-22 20:18:30,4,37.69,4,Y,-73.887736,40.724494,-73.960474,40.792882,No Charge,394.69,3.03,3.64,25.74,48.86,586.52
VTS,2024-11-15 14:09:05,2024-05-04 15:49:16,5,48.86,3,Y,-73.930574,40.837911,-73.811007,40.743359,Unknown,213.93,4.75,2.96,62.8,3.71,439.58
CMT,2024-06-02 08:47:37,2024-09-02 14:03:20,6,40.85,6,Y,-73.953311,40.63683,-73.861765,40.734132,Unknown,495.13,9.28,1.97,59.77,23.12,51.65
VTS,2024-07-03 19:44:55,2024-04-24 09:10:57,2,25.76,4,Y,-74.01831,40.838472,-73.926579,40.730288,Unknown,133.51,6.53,3.92,2.06,40.15,71.66
VTS,2024-02-27 19:26:24,2024-11-08 17:59:02,4,12.64,1,Y,-73.754036,40.830714,-73.845798,40.796347,Credit Card,233.55,4.08,4.9,23.92,32.96,468.79
CMT,2024-07-01 04:07:03,2024-09-19 11:16:49,5,13.77,1,Y,-73.881559,40.738037,-73.853699,40.801557,Credit Card,275.2,7.42,2.89,21.37,4.68,380.37
CMT,2024-01-21 19:00:06,2024-06-25 16:56:24,5,35.29,1,Y,-73.88182,40.801413,-74.049786,40.739358,Cash,327.23,7.63,1.53,87.16,10.55,522.42
CMT,2024-07-28 05:52:59,2024-03-02 04:39:50,5,42.7,2,N,-73.87232,40.703542,-73.756192,40.846437,Credit Card,434.14,6.99,3.77,89.73,4.77,80.96
CMT,2024-02-22 16:25:47,2024-03-06 17:55:09,6,12.77,1,Y,-74.002998,40.640301,-73.873261,40.795828,Cash,220.75,6.76,1.32,22.0,41.82,387.46
CMT,2024-09-11 06:05:26,2024-09-28 02:48:28,4,41.03,5,N,-73.861007,40.829056,-74.023604,40.673295,Cash,418.85,2.94,0.1,24.89,10.13,339.54
VTS,2024-09-28 22:27:41,2024-10-18 22:29:17,3,22.22,2,N,-73.982715,40.826478,-73.762787,40.660123,Credit Card,97.7,3.54,0.19,27.24,13.29,276.67
CMT,2024-11-02 13:56:30,2024-10-03 04:31:12,4,28.98,3,Y,-73.750641,40.656646,-73.853484,40.784073,No Charge,259.95,0.39,4.53,97.6,38.59,236.66
CMT,2024-09-16 04:47:33,2024-05-23 23:00:14,1,26.21,3,Y,-73.806406,40.671577,-73.996769,40.651423,Dispute,297.29,8.41,3.16,40.47,13.0,476.09
CMT,2024-04-03 16:00:42,2024-07-02 21:44:35,2,7.78,5,N,-73.901635,40.776582,-73.932317,40.720436,Credit Card,52.3,7.07,3.31,16.07,33.61,229.98
CMT,2024-09-06 06:29:14,2024-05-27 05:17:20,2,32.41,2,Y,-74.046587,40.717652,-73.765689,40.635408,No Charge,254.55,2.9,4.31,33.0,7.34,82.69
CMT,2024-03-17 05:39:08,2024-01-29 02:48:18,1,40.05,3,N,-73.828339,40.800692,-73.89373,40.735737,Unknown,284.56,6.11,2.66,72.22,49.28,549.81
CMT,2024-07-19 03:49:12,2024-03-18 05:24:17,3,21.5,3,N,-74.017516,40.743926,-73.833306,40.800851,Credit Card,41.36,7.22,4.54,79.43,46.55,243.07
VTS,2024-05-22 18:34:56,2024-06-19 22:21:59,2,1.3,6,N,-73.933336,40.753462,-73.792806,40.691851,Dispute,386.04,4.12,1.73,50.13,40.08,537.19
CMT,2024-02-03 12:04:38,2024-02-18 12:20:11,4,6.28,4,N,-73.761917,40.654217,-73.817749,40.755101,Unknown,183.25,2.14,4.84,44.19,27.61,273.62
CMT,2024-08-16 13:14:16,2024-07-22 19:56:33,2,3.15,1,Y,-73.879435,40.789847,-73.885216,40.808821,No Charge,255.35,1.32,2.49,20.42,21.47,403.64
VTS,2024-04-16 21:12:29,2024-06-02 03:00:30,4,10.13,3,Y,-73.792399,40.68354,-73.908899,40.781116,Cash,260.09,6.45,4.54,72.9,30.86,155.95
VTS,2024-02-03 09:37:43,2024-04-23 01:02:07,5,12.48,3,Y,-73.827575,40.702364,-73.796809,40.819281,Credit Card,307.74,8.27,4.77,45.32,33.97,344.35
VTS,2024-06-06 13:56:35,2024-06-24 15:49:38,2,2.38,2,Y,-73.966506,40.69075,-73.854923,40.811768,Dispute,477.22,7.02,2.98,48.32,23.83,490.64
CMT,2024-02-28 09:15:43,2024-02-10 16:53:26,3,13.81,4,Y,-73.969996,40.704448,-73.857255,40.769954,No Charge,228.16,0.99,4.32,7.42,7.72,116.86
CMT,2024-11-10 08:30:42,2024-05-08 12:58:46,6,29.15,2,Y,-73.966352,40.752204,-73.965615,40.689039,No Charge,276.69,3.29,0.81,73.12,5.13,168.55
CMT,2024-03-31 09:44:03,2024-05-23 23:04:37,5,41.15,6,Y,-73.862099,40.698448,-74.049611,40.666197,Cash,97.42,2.21,1.65,99.86,23.23,300.65
VTS,2024-10-06 00:31:42,2024-09-25 13:36:50,6,16.6,1,N,-73.806518,40.777263,-73.756244,40.679087,Unknown,257.61,8.39,1.75,31.49,38.42,87.06
VTS,2024-08-22 23:58:59,2024-07-30 02:49:33,2,35.66,2,Y,-73.950941,40.675017,-74.027738,40.783324,Dispute,322.49,6.1,2.28,95.98,6.43,579.82
CMT,2024-02-11 14:19:20,2024-01-09 02:16:10,1,35.09,2,N,-73.851117,40.653891,-73.787287,40.636178,Cash,83.16,1.0,2.96,44.96,25.98,479.9
VTS,2024-11-07 23:56:03,2024-06-20 19:37:11,1,39.81,1,Y,-73.758991,40.716599,-73.80266,40.829203,Dispute,337.55,7.19,3.24,78.22,41.88,25.92
VTS,2024-09-01 08:13:13,2024-03-13 19:52:39,1,47.65,4,N,-73.954309,40.828156,-73.873471,40.827375,Dispute,141.42,7.98,0.34,13.14,8.88,560.49
VTS,2024-03-03 03:19:08,2024-06-03 05:17:57,6,25.44,1,Y,-73.971742,40.781877,-73.925173,40.821179,Dispute,477.25,5.5,0.4,89.12,10.46,293.67
VTS,2024-06-22 13:20:09,2024-10-18 05:23:45,1,24.18,5,N,-73.770514,40.659904,-73.836291,40.844955,No Charge,470.05,9.97,1.44,37.86,49.56,427.51
CMT,2024-02-15 04:00:03,2024-11-01 06:25:48,4,41.19,1,N,-73.857928,40.769766,-73.902596,40.708037,Cash,290.07,6.36,2.04,71.33,36.42,131.57
VTS,2024-10-24 02:19:02,2024-06-11 17:08:57,2,35.76,3,Y,-73.954234,40.818555,-74.030863,40.831164,No Charge,97.16,4.79,4.23,26.59,9.58,456.52
VTS,2024-05-25 12:40:48,2024-03-18 14:50:54,5,37.29,4,Y,-73.869628,40.779649,-73.874914,40.771107,Dispute,374.6,7.64,0.51,52.49,6.28,202.72
VTS,2024-07-31 15:15:30,2024-10-23 18:41:37,3,38.07,5,Y,-73.895251,40.673403,-73.834559,40.834015,No Charge,222.62,2.83,0.02,38.95,31.47,510.63
CMT,2024-01-21 15:44:10,2024-06-22 03:07:58,1,38.34,3,N,-73.928847,40.820065,-73.939448,40.69525,Cash,47.9,6.94,3.15,60.47,46.91,447.44
VTS,2024-07-21 09:26:39,2024-07-05 16:29:22,6,4.41,2,Y,-73.941953,40.804722,-73.842655,40.639368,Unknown,27.29,2.36,3.55,91.49,7.89,397.83
CMT,2024-07-05 12:51:15,2024-03-22 02:43:02,1,6.0,5,Y,-73.935393,40.783103,-74.031946,40.797725,Credit Card,247.32,8.2,4.99,73.09,22.86,490.42
CMT,2024-05-13 15:07:33,2024-10-03 14:49:39,6,12.41,6,N,-73.974573,40.728158,-73.913476,40.803492,Credit Card,197.33,4.99,0.18,99.73,38.92,361.57
